Bitcoin,10730.71,https://www.coingecko.com/en/coins/bitcoin
Ethereum,351.81,https://www.coingecko.com/en/coins/ethereum
Tether,0.999681,https://www.coingecko.com/en/coins/tether
XRP,0.254525,https://www.coingecko.com/en/coins/xrp
Binance Coin,28.92,https://www.coingecko.com/en/coins/binance-coin
Bitcoin Cash,220.22,https://www.coingecko.com/en/coins/bitcoin-cash
Polkadot,4.08,https://www.coingecko.com/en/coins/polkadot
Chainlink,9.38,https://www.coingecko.com/en/coins/chainlink
Crypto.com Coin,0.149254,https://www.coingecko.com/en/coins/crypto-com-coin
Litecoin,46.35,https://www.coingecko.com/en/coins/litecoin
Cardano,0.09678861,https://www.coingecko.com/en/coins/cardano
Bitcoin SV,161.43,https://www.coingecko.com/en/coins/bitcoin-sv
USD Coin,1.00,https://www.coingecko.com/en/coins/usd-coin
EOS,2.51,https://www.coingecko.com/en/coins/eos
Monero,111.32,https://www.coingecko.com/en/coins/monero
TRON,0.02619805,https://www.coingecko.com/en/coins/tron
OKB,6.14,https://www.coingecko.com/en/coins/okb
Tezos,2.11,https://www.coingecko.com/en/coins/tezos
Stellar,0.07377182,https://www.coingecko.com/en/coins/stellar
Cosmos,5.18,https://www.coingecko.com/en/coins/cosmos
NEO,17.11,https://www.coingecko.com/en/coins/neo
LEO Token,1.23,https://www.coingecko.com/en/coins/leo-token
cDAI,0.02096921,https://www.coingecko.com/en/coins/compound-dai
NEM,0.121168,https://www.coingecko.com/en/coins/nem
Huobi Token,4.61,https://www.coingecko.com/en/coins/huobi-token
Wrapped Bitcoin,10752.51,https://www.coingecko.com/en/coins/wrapped-bitcoin
Dai,1.01,https://www.coingecko.com/en/coins/dai
IOTA,0.265741,https://www.coingecko.com/en/coins/iota
Theta Network,0.713762,https://www.coingecko.com/en/coins/theta-network
VeChain,0.01091356,https://www.coingecko.com/en/coins/vechain
Zcash,63.84,https://www.coingecko.com/en/coins/zcash
Dash,66.75,https://www.coingecko.com/en/coins/dash
Aave,0.485583,https://www.coingecko.com/en/coins/aave-old
Ethereum Classic,5.11,https://www.coingecko.com/en/coins/ethereum-classic
Binance USD,0.999492,https://www.coingecko.com/en/coins/binance-usd
Uniswap,3.04,https://www.coingecko.com/en/coins/uniswap
yearn.finance,18383.75,https://www.coingecko.com/en/coins/yearn-finance
OMG Network,3.66,https://www.coingecko.com/en/coins/omg-network
Maker,545.64,https://www.coingecko.com/en/coins/maker
Synthetix Network Token,3.86,https://www.coingecko.com/en/coins/synthetix-network-token
Celsius Network,1.26,https://www.coingecko.com/en/coins/celsius-network-token
TrueUSD,1.00,https://www.coingecko.com/en/coins/true-usd
UMA,7.06,https://www.coingecko.com/en/coins/uma
Compound,113.69,https://www.coingecko.com/en/coins/compound
Ontology,0.581588,https://www.coingecko.com/en/coins/ontology
DigiByte,0.02510159,https://www.coingecko.com/en/coins/digibyte
Dogecoin,0.00260804,https://www.coingecko.com/en/coins/dogecoin
FTX Token,3.55,https://www.coingecko.com/en/coins/ftx-token
Basic Attention Token,0.219477,https://www.coingecko.com/en/coins/basic-attention-token
Paxos Standard,0.999638,https://www.coingecko.com/en/coins/paxos-standard
Kusama,31.22,https://www.coingecko.com/en/coins/kusama
cETH,7.05,https://www.coingecko.com/en/coins/compound-ether
renBTC,10744.27,https://www.coingecko.com/en/coins/renbtc
0x,0.364251,https://www.coingecko.com/en/coins/0x
Algorand,0.303174,https://www.coingecko.com/en/coins/algorand
Aave LINK,9.40,https://www.coingecko.com/en/coins/aave-link
Nexus Mutual,31.12,https://www.coingecko.com/en/coins/nexus-mutual
Waves,2.31,https://www.coingecko.com/en/coins/waves
Qtum,2.23,https://www.coingecko.com/en/coins/qtum
Energy Web Token,7.36,https://www.coingecko.com/en/coins/energy-web-token
ICON,0.387210,https://www.coingecko.com/en/coins/icon
